====
Starting job 2057605 at Tue 28 Apr 01:01:55 BST 2020 for user dc-rope1.
Running on nodes: m7384
====
999
Need to generate this file
Job done, info follows...
       JobID    JobName  Partition     MaxRSS    Elapsed ExitCode 
------------ ---------- ---------- ---------- ---------- -------- 
2057605_1000 FLARES-py+     cosma7              00:00:04      0:0 
2057605_100+     extern                         00:00:04      0:0 
2057605_1    FLARES-py+     cosma7              00:00:11      0:0 
2057605_1.b+      batch                     0   00:00:11      0:0 
2057605_1.e+     extern                  127K   00:00:11      0:0 
2057605_2    FLARES-py+     cosma7              00:00:11      0:0 
2057605_2.b+      batch                     0   00:00:11      0:0 
2057605_2.e+     extern                  197K   00:00:11      0:0 
2057605_3    FLARES-py+     cosma7              00:00:11      0:0 
2057605_3.b+      batch                     0   00:00:11      0:0 
2057605_3.e+     extern                  127K   00:00:11      0:0 
2057605_4    FLARES-py+     cosma7              00:00:12      0:0 
2057605_4.b+      batch                     0   00:00:12      0:0 
2057605_4.e+     extern                  123K   00:00:12      0:0 
2057605_5    FLARES-py+     cosma7              00:00:11      0:0 
2057605_5.b+      batch                     0   00:00:11      0:0 
2057605_5.e+     extern                  119K   00:00:11      0:0 
2057605_6    FLARES-py+     cosma7              00:00:11      0:0 
2057605_6.b+      batch                     0   00:00:11      0:0 
2057605_6.e+     extern                  127K   00:00:11      0:0 
2057605_7    FLARES-py+     cosma7              00:00:11      0:0 
2057605_7.b+      batch                     0   00:00:11      0:0 
2057605_7.e+     extern                  123K   00:00:12      0:0 
2057605_8    FLARES-py+     cosma7              00:00:11      0:0 
2057605_8.b+      batch                     0   00:00:11      0:0 
2057605_8.e+     extern                  232K   00:00:12      0:0 
2057605_9    FLARES-py+     cosma7              00:00:12      0:0 
2057605_9.b+      batch                     0   00:00:12      0:0 
2057605_9.e+     extern                  246K   00:00:12      0:0 
2057605_10   FLARES-py+     cosma7              00:00:12      0:0 
2057605_10.+      batch                     0   00:00:12      0:0 
2057605_10.+     extern                  127K   00:00:12      0:0 
2057605_11   FLARES-py+     cosma7              00:00:12      0:0 
2057605_11.+      batch                     0   00:00:12      0:0 
2057605_11.+     extern                  234K   00:00:12      0:0 
2057605_12   FLARES-py+     cosma7              00:00:12      0:0 
2057605_12.+      batch                     0   00:00:12      0:0 
2057605_12.+     extern                  217K   00:00:12      0:0 
2057605_13   FLARES-py+     cosma7              00:00:12      0:0 
2057605_13.+      batch                     0   00:00:12      0:0 
2057605_13.+     extern                  127K   00:00:12      0:0 
2057605_14   FLARES-py+     cosma7              00:00:11      0:0 
2057605_14.+      batch                     0   00:00:11      0:0 
