====
Starting job 2058606 at Tue 28 Apr 01:09:55 BST 2020 for user dc-rope1.
Running on nodes: m7396
====
1999
Job done, info follows...
       JobID    JobName  Partition     MaxRSS    Elapsed ExitCode 
------------ ---------- ---------- ---------- ---------- -------- 
2058606_1000 FLARES-py+     cosma7              00:00:07      0:0 
2058606_100+     extern                         00:00:07      0:0 
2058606_1    FLARES-py+     cosma7              00:00:17      0:0 
2058606_1.b+      batch                     0   00:00:17      0:0 
2058606_1.e+     extern                  127K   00:00:17      0:0 
2058606_2    FLARES-py+     cosma7              00:00:16      0:0 
2058606_2.b+      batch                     0   00:00:16      0:0 
2058606_2.e+     extern                  231K   00:00:16      0:0 
2058606_3    FLARES-py+     cosma7              00:00:13      0:0 
2058606_3.b+      batch                     0   00:00:13      0:0 
2058606_3.e+     extern                  127K   00:00:13      0:0 
2058606_4    FLARES-py+     cosma7              00:00:16    127:0 
2058606_4.b+      batch                     0   00:00:16    127:0 
2058606_4.e+     extern                  127K   00:00:16      0:0 
2058606_5    FLARES-py+     cosma7              00:00:16      0:0 
2058606_5.b+      batch                     0   00:00:16      0:0 
2058606_5.e+     extern                  127K   00:00:16      0:0 
2058606_6    FLARES-py+     cosma7              00:00:14      0:0 
2058606_6.b+      batch                     0   00:00:14      0:0 
2058606_6.e+     extern                  198K   00:00:14      0:0 
2058606_7    FLARES-py+     cosma7              00:00:16      0:0 
2058606_7.b+      batch                     0   00:00:16      0:0 
2058606_7.e+     extern                  256K   00:00:16      0:0 
2058606_8    FLARES-py+     cosma7              00:00:14      0:0 
2058606_8.b+      batch                     0   00:00:14      0:0 
2058606_8.e+     extern                  230K   00:00:14      0:0 
2058606_9    FLARES-py+     cosma7              00:00:16      0:0 
2058606_9.b+      batch                     0   00:00:16      0:0 
2058606_9.e+     extern                  123K   00:00:16      0:0 
2058606_10   FLARES-py+     cosma7              00:00:14      0:0 
2058606_10.+      batch                     0   00:00:14      0:0 
2058606_10.+     extern                  251K   00:00:14      0:0 
2058606_11   FLARES-py+     cosma7              00:00:12      0:0 
2058606_11.+      batch                     0   00:00:12      0:0 
2058606_11.+     extern                  256K   00:00:12      0:0 
2058606_12   FLARES-py+     cosma7              00:00:14      0:0 
2058606_12.+      batch                     0   00:00:14      0:0 
2058606_12.+     extern                  123K   00:00:14      0:0 
2058606_13   FLARES-py+     cosma7              00:00:15      0:0 
2058606_13.+      batch                     0   00:00:15      0:0 
2058606_13.+     extern                  233K   00:00:15      0:0 
2058606_14   FLARES-py+     cosma7              00:00:16      0:0 
2058606_14.+      batch                     0   00:00:16      0:0 
2058606_14.+     extern                  127K   00:00:16      0:0 
2058606_15   FLARES-py+     cosma7              00:00:13      0:0 
2058606_15.+      batch                     0   00:00:13      0:0 
2058606_15.+     extern                  252K   00:00:13      0:0 
2058606_16   FLARES-py+     cosma7              00:00:10      0:0 
2058606_16.+      batch                     0   00:00:10      0:0 
2058606_16.+     extern                  123K   00:00:10      0:0 
2058606_17   FLARES-py+     cosma7              00:00:13      0:0 
2058606_17.+      batch                     0   00:00:13      0:0 
2058606_17.+     extern                  127K   00:00:13      0:0 
2058606_18   FLARES-py+     cosma7              00:00:16      0:0 
2058606_18.+      batch                     0   00:00:16      0:0 
2058606_18.+     extern                  123K   00:00:16      0:0 
2058606_19   FLARES-py+     cosma7              00:00:13      0:0 
2058606_19.+      batch                     0   00:00:13      0:0 
2058606_19.+     extern                  123K   00:00:13      0:0 
2058606_20   FLARES-py+     cosma7              00:00:16      0:0 
2058606_20.+      batch                     0   00:00:16      0:0 
2058606_20.+     extern                  123K   00:00:16      0:0 
2058606_21   FLARES-py+     cosma7              00:00:11      0:0 
2058606_21.+      batch                     0   00:00:11      0:0 
2058606_21.+     extern                  257K   00:00:12      0:0 
2058606_22   FLARES-py+     cosma7              00:00:17      0:0 
2058606_22.+      batch                     0   00:00:17      0:0 
2058606_22.+     extern                  127K   00:00:17      0:0 
2058606_23   FLARES-py+     cosma7              00:00:12      0:0 
2058606_23.+      batch                     0   00:00:12      0:0 
2058606_23.+     extern                  123K   00:00:12      0:0 
2058606_24   FLARES-py+     cosma7              00:00:10      0:0 
2058606_24.+      batch                     0   00:00:10      0:0 
2058606_24.+     extern                  123K   00:00:10      0:0 
2058606_25   FLARES-py+     cosma7              00:00:14      0:0 
2058606_25.+      batch                     0   00:00:14      0:0 
2058606_25.+     extern                  123K   00:00:14      0:0 
2058606_26   FLARES-py+     cosma7              00:00:15      0:0 
2058606_26.+      batch                     0   00:00:15      0:0 
2058606_26.+     extern                  127K   00:00:15      0:0 
2058606_27   FLARES-py+     cosma7              00:00:11      0:0 
2058606_27.+      batch                     0   00:00:11      0:0 
2058606_27.+     extern                  127K   00:00:11      0:0 
2058606_28   FLARES-py+     cosma7              00:00:15      0:0 
2058606_28.+      batch                     0   00:00:15      0:0 
2058606_28.+     extern                  123K   00:00:15      0:0 
2058606_29   FLARES-py+     cosma7              00:00:10      0:0 
2058606_29.+      batch                     0   00:00:10      0:0 
2058606_29.+     extern                  123K   00:00:10      0:0 
2058606_30   FLARES-py+     cosma7              00:00:14      0:0 
2058606_30.+      batch                     0   00:00:14      0:0 
2058606_30.+     extern                  187K   00:00:14      0:0 
2058606_31   FLARES-py+     cosma7              00:00:15      0:0 
2058606_31.+      batch                     0   00:00:15      0:0 
2058606_31.+     extern                  127K   00:00:15      0:0 
2058606_32   FLARES-py+     cosma7              00:00:16      0:0 
2058606_32.+      batch                     0   00:00:16      0:0 
2058606_32.+     extern                  114K   00:00:16      0:0 
2058606_33   FLARES-py+     cosma7              00:00:14      0:0 
2058606_33.+      batch                     0   00:00:14      0:0 
2058606_33.+     extern                  123K   00:00:14      0:0 
2058606_34   FLARES-py+     cosma7              00:00:16      0:0 
2058606_34.+      batch                     0   00:00:16      0:0 
2058606_34.+     extern                  228K   00:00:16      0:0 
2058606_35   FLARES-py+     cosma7              00:00:16      0:0 
2058606_35.+      batch                     0   00:00:16      0:0 
