sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,0.48,1,0,0,-22.14,12.15,-0.071,-0.037,0.14599125,0.82371217,0.22484444,-0.04375246,0.06047836,0.129135,0.0356416,-0.04525312,0.0271054,-0.0172931,-0.01601595,0.00382554,0.00141796,-0.00168482,-0.00067539,-0.00013633,-0.00001841,-0.00098295,0.00311004,-0.00000284,0.00044471,0.00000689,-0.00000009,0.00161814
1,0.48,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.17526221,0.8884048,0.27796547,-0.08566798,0.04848769,0.16049983,0.03469981,-0.04502691,0.02215301,-0.03284691,-0.01019711,0.00617658,0.0019583,-0.0011393,-0.00101928,-0.00009574,-0.00003842,-0.00138255,0.00272235,-0.00000125,0.00044887,0.00000613,-0.00000114,0.00161957
1,0.48,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.10590494,0.64167036,0.14559555,-0.06495146,0.03972333,0.08240972,0.03361071,-0.04129326,0.02046842,-0.02551272,-0.0192923,0.01125037,0.00066371,-0.00209419,-0.0013244,-0.00016276,-0.00007651,-0.001377,0.00349087,0.00000063,0.00044132,0.00000556,0.00000075,0.00161631
1,0.48,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.11493494,0.70834216,0.16476751,-0.00888414,0.05414472,0.09357855,0.03797753,-0.04283514,0.02556773,-0.00423941,-0.0220281,-0.00117444,0.00074178,-0.00223138,-0.00019643,-0.00018228,0.00002526,-0.00058807,0.00349132,-0.00000563,0.00043978,0.00000815,0.0000009,0.00161688
1,0.48,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.19209051,0.99728969,0.31196654,-0.00905193,0.05913167,0.18024359,0.03739465,-0.04646348,0.02591687,-0.00429269,-0.01234798,-0.00096595,0.00204669,-0.00127972,-0.00017022,-0.00010324,0.00001562,-0.0005848,0.00272281,-0.00000497,0.00044764,0.00000773,-0.00000119,0.00162012
1,0.62,1,0,0,-22.14,12.15,-0.071,-0.037,0.11504204,0.64549889,0.17807612,-0.03391415,0.04676821,0.10228287,0.0275022,-0.03501562,0.02096597,-0.01340287,-0.01239946,0.00297061,0.0010949,-0.00130444,-0.00052283,-0.00010551,-0.00001425,-0.00076103,0.00240786,-0.00000219,0.0003443,0.00000534,-0.00000007,0.00125278
1,0.62,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.13776831,0.69567245,0.21919251,-0.06640072,0.03744872,0.12655977,0.02670501,-0.03486049,0.01711897,-0.02545724,-0.00789459,0.00479103,0.00151321,-0.00088218,-0.00078913,-0.00007407,-0.00002972,-0.00107042,0.00210769,-0.00000096,0.00034752,0.00000474,-0.00000088,0.00125389
1,0.62,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.08368603,0.49696117,0.11647408,-0.05036313,0.03073651,0.06596494,0.02597382,-0.03199206,0.01584069,-0.01977952,-0.01493604,0.00871904,0.00051073,-0.00162137,-0.00102516,-0.00012596,-0.00005926,-0.00106612,0.00270271,0.0000005,0.00034168,0.0000043,0.00000058,0.00125136
1,0.62,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.0907805,0.55596623,0.13145964,-0.00688405,0.04190098,0.07469436,0.02932719,-0.03312414,0.01978837,-0.00328428,-0.01705416,-0.00090055,0.0005713,-0.00172751,-0.00015205,-0.00014111,0.00001953,-0.0004553,0.00270306,-0.00000435,0.00034048,0.00000631,0.00000069,0.0012518
1,0.62,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.15091902,0.77986993,0.24565736,-0.00701388,0.04568982,0.14192708,0.02886582,-0.0359115,0.02003313,-0.00332551,-0.0095595,-0.00073903,0.00158177,-0.00099082,-0.00013178,-0.00007992,0.00001211,-0.00045277,0.00210804,-0.00000384,0.00034657,0.00000599,-0.00000092,0.00125431
